Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-05-07,3417.29,3475.35,3405.28,3414.57,6367016.1238459
2019-05-08,3402.95,3441.28,3391.72,3423.85,5390727.0853141
2019-05-09,3378.56,3406.44,3369.65,3384.37,5329553.1138352
2019-05-10,3426.19,3444.77,3396.76,3416.11,3132019.6553556
2019-05-13,3436.63,3436.63,3377.02,3382.04,3448157.3730084
2019-05-14,3402.56,3488.13,3395.59,3488.13,4922240.3965452
2019-05-15,3506.32,3517.93,3445.54,3499.35,3342104.2825724
2019-05-16,3538.45,3598.84,3532.65,3568.64,3700764.7326234
2019-05-17,3623.62,3632.91,3582.59,3618.21,3830007.094336
2019-05-20,3639.11,3648.02,3601.95,3620.93,2884558.2589271
2019-05-21,3628.28,3630.97,3566.7,3590.34,4110925.6222992
2019-05-22,3626.33,3641.43,3611.22,3619.74,2558774.2145936
2019-05-23,3604.27,3623.62,3533.81,3553.54,4434244.4593803
2019-05-24,3584.89,3613.93,3584.89,3594.2,3814607.9198311
2019-05-28,3694.08,3732.8,3674.72,3697.94,9162906.4445011
2019-05-29,3658.85,3662.32,3571.74,3596.53,6345448.6994458
2019-05-30,3603.87,3613.54,3589.16,3596.53,3448856.3366945
2019-05-31,3538.06,3548.9,3481.93,3512.51,4982980.1316024
2019-06-03,3476.51,3561.68,3457.14,3557.8,4128756.5207662
2019-06-04,3555.48,3570.59,3528.76,3566.33,4567762.2187301
2019-06-05,3571.36,3571.36,3490.82,3500.51,3737171.5327678
2019-06-06,3462.58,3526.44,3457.54,3514.06,3665114.4455705
2019-06-07,3467.21,3524.13,3461.41,3498.57,4142027.4136279
2019-06-10,3524.13,3568.25,3521.03,3551.61,2706474.2401145
2019-06-11,3599.62,3658.46,3593.03,3636.39,4507059.1060218
2019-06-12,3632.14,3666.98,3593.03,3648.79,3363744.9516701
2019-06-13,3640.66,3725.45,3634.85,3721.18,6512653.7879515
2019-06-14,3716.15,3739.76,3669.69,3693.31,3960715.3963545
2019-06-17,3703.37,3716.54,3675.88,3695.62,6389223.916174
2019-06-18,3724.27,3797.07,3719.64,3776.54,6803241.6623575
2019-06-19,3791.25,3796.67,3574.05,3599.62,8985566.3825461
2019-06-20,3639.11,3663.88,3591.1,3625.56,4771828.2245056
2019-06-21,3629.42,3650.72,3613.54,3630.97,10158626.254967
2019-06-24,3630.59,3678.61,3626.72,3678.61,3628933.6576361
2019-06-25,3658.46,3710.73,3652.66,3695.62,3210800.6057973
2019-06-26,3717.31,3739.39,3688.27,3738.2,3399310.4841443
2019-06-27,3790.1,3805.57,3730.46,3738.61,4612570.1856952
2019-06-28,3737.44,3800.16,3729.71,3778.86,3856339.6094947
2019-07-01,3821.06,3840.42,3788.53,3805.96,3227612.3566141
